Industry,Title,Model,Criterion,Yes,No
Insurance,Claim Filing,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Estimatable,8,0
Insurance,Claim Filing,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unique,8,0
Insurance,Claim Filing,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Uniform,8,0
Insurance,Claim Filing,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Independent,8,0
Insurance,Claim Filing,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Complete,8,0
Healthcare,Patient Appointment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Well-formed,10,0
Healthcare,Patient Appointment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Atomic,10,0
Healthcare,Patient Appointment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Minimal,0,10
Healthcare,Patient Appointment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conceptually sound,10,0
Healthcare,Patient Appointment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Problem-oriented,10,0
Healthcare,Patient Appointment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unambiguous,10,0
Healthcare,Patient Appointment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conflict-free,10,0
Healthcare,Patient Appointment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Full sentence,10,0
Healthcare,Patient Appointment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Estimatable,10,0
Healthcare,Patient Appointment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unique,10,0
Healthcare,Patient Appointment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Uniform,10,0
Healthcare,Patient Appointment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Independent,10,0
Healthcare,Patient Appointment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Complete,10,0
Public Sector,Voter Registration,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Well-formed,7,0
Public Sector,Voter Registration,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Atomic,7,0
Public Sector,Voter Registration,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Minimal,0,7
Public Sector,Voter Registration,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conceptually sound,7,0
Public Sector,Voter Registration,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Problem-oriented,7,0
Public Sector,Voter Registration,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unambiguous,7,0
Public Sector,Voter Registration,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conflict-free,7,0
Public Sector,Voter Registration,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Full sentence,7,0
Public Sector,Voter Registration,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Estimatable,7,0
Public Sector,Voter Registration,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unique,7,0
Public Sector,Voter Registration,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Uniform,7,0
Public Sector,Voter Registration,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Independent,7,0
Public Sector,Voter Registration,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Complete,7,0
Travel & Logistics,Shipment Tracking,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Well-formed,9,0
Travel & Logistics,Shipment Tracking,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Atomic,9,0
Travel & Logistics,Shipment Tracking,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Minimal,9,0
Travel & Logistics,Shipment Tracking,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conceptually sound,9,0
Travel & Logistics,Shipment Tracking,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Problem-oriented,9,0
Travel & Logistics,Shipment Tracking,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unambiguous,9,0
Travel & Logistics,Shipment Tracking,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conflict-free,9,0
Travel & Logistics,Shipment Tracking,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Full sentence,9,0
Travel & Logistics,Shipment Tracking,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Estimatable,9,0
Travel & Logistics,Shipment Tracking,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unique,9,0
Travel & Logistics,Shipment Tracking,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Uniform,9,0
Travel & Logistics,Shipment Tracking,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Independent,9,0
Travel & Logistics,Shipment Tracking,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Complete,9,0
Telecommunications,Service Ticket Resolution,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Well-formed,8,0
Telecommunications,Service Ticket Resolution,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Atomic,8,0
Telecommunications,Service Ticket Resolution,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Minimal,0,8
Telecommunications,Service Ticket Resolution,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conceptually sound,8,0
Telecommunications,Service Ticket Resolution,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Problem-oriented,8,0
Telecommunications,Service Ticket Resolution,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unambiguous,8,0
Telecommunications,Service Ticket Resolution,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conflict-free,8,0
Telecommunications,Service Ticket Resolution,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Full sentence,8,0
Telecommunications,Service Ticket Resolution,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Estimatable,8,0
Telecommunications,Service Ticket Resolution,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unique,8,0
Telecommunications,Service Ticket Resolution,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Uniform,8,0
Telecommunications,Service Ticket Resolution,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Independent,8,0
Telecommunications,Service Ticket Resolution,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Complete,8,0
Corporate IT,Software Update Deployment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Well-formed,10,0
Corporate IT,Software Update Deployment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Atomic,10,0
Corporate IT,Software Update Deployment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Minimal,10,0
Corporate IT,Software Update Deployment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conceptually sound,10,0
Corporate IT,Software Update Deployment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Problem-oriented,0,10
Corporate IT,Software Update Deployment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unambiguous,10,0
Corporate IT,Software Update Deployment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conflict-free,10,0
Corporate IT,Software Update Deployment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Full sentence,10,0
Corporate IT,Software Update Deployment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Estimatable,10,0
Corporate IT,Software Update Deployment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unique,10,0
Corporate IT,Software Update Deployment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Uniform,10,0
Corporate IT,Software Update Deployment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Independent,10,0
Corporate IT,Software Update Deployment,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Complete,10,0
Consumer Products | New Data Solutions,Purchase Data Analysis,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Well-formed,7,0
Consumer Products | New Data Solutions,Purchase Data Analysis,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Atomic,7,0
Consumer Products | New Data Solutions,Purchase Data Analysis,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Minimal,0,7
Consumer Products | New Data Solutions,Purchase Data Analysis,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conceptually sound,7,0
Consumer Products | New Data Solutions,Purchase Data Analysis,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Problem-oriented,7,0
Consumer Products | New Data Solutions,Purchase Data Analysis,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unambiguous,7,0
Consumer Products | New Data Solutions,Purchase Data Analysis,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conflict-free,7,0
Consumer Products | New Data Solutions,Purchase Data Analysis,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Full sentence,7,0
Consumer Products | New Data Solutions,Purchase Data Analysis,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Estimatable,7,0
Consumer Products | New Data Solutions,Purchase Data Analysis,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unique,7,0
Consumer Products | New Data Solutions,Purchase Data Analysis,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Uniform,7,0
Consumer Products | New Data Solutions,Purchase Data Analysis,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Independent,7,0
Consumer Products | New Data Solutions,Purchase Data Analysis,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Complete,7,0
Cyber Security,Security Audit,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Well-formed,8,0
Cyber Security,Security Audit,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Atomic,8,0
Cyber Security,Security Audit,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Minimal,0,8
Cyber Security,Security Audit,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conceptually sound,8,0
Cyber Security,Security Audit,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Problem-oriented,8,0
Cyber Security,Security Audit,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unambiguous,8,0
Cyber Security,Security Audit,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conflict-free,8,0
Cyber Security,Security Audit,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Full sentence,8,0
Cyber Security,Security Audit,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Estimatable,8,0
Cyber Security,Security Audit,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unique,8,0
Cyber Security,Security Audit,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Uniform,8,0
Cyber Security,Security Audit,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Independent,8,0
Cyber Security,Security Audit,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Complete,8,0
Test & Quality Management,Quality Assurance Test,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Well-formed,6,0
Test & Quality Management,Quality Assurance Test,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Atomic,6,0
Test & Quality Management,Quality Assurance Test,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Minimal,6,0
Test & Quality Management,Quality Assurance Test,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conceptually sound,6,0
Test & Quality Management,Quality Assurance Test,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Problem-oriented,6,0
Test & Quality Management,Quality Assurance Test,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unambiguous,6,0
Test & Quality Management,Quality Assurance Test,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conflict-free,6,0
Test & Quality Management,Quality Assurance Test,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Full sentence,6,0
Test & Quality Management,Quality Assurance Test,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Estimatable,6,0
Test & Quality Management,Quality Assurance Test,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unique,6,0
Test & Quality Management,Quality Assurance Test,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Uniform,6,0
Test & Quality Management,Quality Assurance Test,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Independent,6,0
Test & Quality Management,Quality Assurance Test,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Complete,6,0
Life Science & Chemicals,Lab Experiment Recording,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Well-formed,7,0
Life Science & Chemicals,Lab Experiment Recording,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Atomic,7,0
Life Science & Chemicals,Lab Experiment Recording,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Minimal,0,7
Life Science & Chemicals,Lab Experiment Recording,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conceptually sound,7,0
Life Science & Chemicals,Lab Experiment Recording,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Problem-oriented,7,0
Life Science & Chemicals,Lab Experiment Recording,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unambiguous,7,0
Life Science & Chemicals,Lab Experiment Recording,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Conflict-free,7,0
Life Science & Chemicals,Lab Experiment Recording,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Full sentence,7,0
Life Science & Chemicals,Lab Experiment Recording,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Estimatable,7,0
Life Science & Chemicals,Lab Experiment Recording,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF/Meta-Llama-3-8B-Instruct.Q5_1.gguf,Unique,7,0
